Count of text_general_code,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,Disorderly Conduct,DRIVING UNDER THE INFLUENCE,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Homicide - Criminal ,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations,Grand Total
Jan,207,409,2008,34,142,359,76,143,36,21,748,1,33,6,16,208,863,34,2046,85,45,6,78,1,213,292,1097,2393,,1202,239,13041
Feb,176,481,1988,25,89,305,160,179,28,19,765,1,19,3,20,139,965,38,1974,89,84,14,82,1,166,276,1061,2241,1,1066,238,12693
Mar,281,425,1792,35,110,302,100,127,26,18,685,,31,5,8,163,654,30,1828,47,22,6,77,2,147,236,1060,1756,,1027,195,11195
Apr,224,313,1093,33,149,252,48,76,12,16,537,,24,5,,164,331,22,1404,27,,1,40,1,124,227,1131,1542,,995,232,9023
May,292,474,1740,57,414,312,135,134,16,4,617,4,30,3,5,179,1016,35,1797,48,,5,51,1,120,214,1177,1663,3,1292,292,12130
Jun,315,513,1076,73,1054,286,69,113,9,9,657,,41,3,4,184,171,40,1866,62,,,82,1,115,214,964,1275,,1451,160,10807
Jul,334,535,1076,45,110,281,21,170,9,7,842,1,46,2,10,165,351,45,1965,71,,1,73,2,63,188,856,1514,,1272,198,10253
Aug,473,509,1074,51,112,296,34,184,16,6,812,1,45,7,1,231,383,31,1965,64,,2,73,3,107,244,1008,1543,,1263,377,10915
Sep,409,506,1148,51,109,311,21,171,19,7,808,1,37,9,,236,508,42,1922,73,15,,67,,131,235,1101,1642,2,1289,421,11291
Oct,422,561,1190,55,658,332,28,117,18,11,806,1,53,13,7,264,542,30,1901,56,24,3,94,2,209,292,1274,1847,1,1399,425,12635
Nov,377,413,842,58,172,300,15,106,13,13,706,,38,2,1,298,283,31,1687,56,,1,65,4,220,205,1064,1574,,1222,365,10131
Dec,332,343,951,38,159,303,22,99,9,18,729,,42,3,,308,380,25,1562,40,,1,72,6,257,187,1026,1924,1,1049,403,10289
Grand Total,3842,5482,15978,555,3278,3639,729,1619,211,149,8712,10,439,61,72,2539,6447,403,21917,718,190,40,854,24,1872,2810,12819,20914,8,14527,3545,134403
