Count of text_general_code,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Aggravated Assault Firearm,Aggravated Assault No Firearm,All Other Offenses,Arson,Burglary Non-Residential,Burglary Residential,Disorderly Conduct,DRIVING UNDER THE INFLUENCE,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling Violations,Homicide - Criminal,Homicide - Criminal ,Liquor Law Violations,Motor Vehicle Theft,Narcotic / Drug Law Violations,Offenses Against Family and Children,Other Assaults,Other Sex Offenses (Not Commercialized),Prostitution and Commercialized Vice,Public Drunkenness,Rape,Receiving Stolen Property,Robbery Firearm,Robbery No Firearm,Theft from Vehicle,Thefts,Vagrancy/Loitering,Vandalism/Criminal Mischief,Weapon Violations,Grand Total
Jan,165,410,1735,48,101,432,40,214,46,20,1082,,22,4,5,171,838,47,1801,84,88,5,86,3,177,235,1071,1709,2,1163,214,12018
Feb,169,382,1529,28,102,329,45,229,37,25,910,2,18,3,7,105,745,35,1754,76,53,7,64,1,151,218,987,1669,,1002,196,10878
Mar,209,388,2082,35,87,307,34,231,24,19,893,1,30,2,7,129,918,51,2027,82,40,3,102,1,145,283,991,1729,1,1173,172,12196
Apr,206,445,2406,44,91,345,65,206,33,13,900,24,24,,12,135,867,41,2261,106,72,8,69,2,137,314,1055,1940,4,1301,225,13351
May,237,575,3119,33,96,440,68,195,26,24,776,21,22,7,26,140,912,50,2320,77,44,6,85,1,145,312,1117,2040,,1300,243,14457
Jun,249,546,3462,38,84,402,53,180,27,14,671,22,26,5,11,142,969,61,2018,83,97,8,81,1,167,285,1088,2133,1,1340,200,14464
Jul,232,513,3626,32,130,444,86,184,38,23,822,,22,3,9,142,986,42,2013,76,74,18,101,1,205,303,1205,2229,2,1423,177,15161
Aug,237,458,3623,41,112,402,125,183,44,12,838,1,35,6,10,155,886,52,2031,74,35,16,99,3,198,340,1191,2246,3,1302,199,14957
Sep,232,463,3070,31,134,440,111,172,31,22,754,1,22,4,7,146,930,48,2193,102,82,32,84,6,210,325,1192,2317,,1186,255,14602
Oct,236,537,2587,26,117,444,92,171,25,26,772,,33,2,12,188,867,34,2391,98,87,11,88,4,236,328,1177,2402,1,1239,232,14463
Nov,186,428,1885,46,117,397,130,190,38,20,660,3,26,9,10,191,757,44,1922,70,25,18,76,3,201,266,1052,2207,1,1170,225,12373
Dec,258,472,1709,37,186,398,92,199,39,20,701,,25,5,5,152,709,31,1872,81,43,9,77,2,215,293,1062,2478,2,1118,229,12519
Grand Total,2616,5617,30833,439,1357,4780,941,2354,408,238,9779,75,305,50,121,1796,10384,536,24603,1009,740,141,1012,28,2187,3502,13188,25099,17,14717,2567,161439
